time, Quad.IMU.AX
1.134997,-0.238188
1.139997,-0.149943
1.144997,0.148367
1.149998,0.270691
1.154998,-0.261561
1.159998,0.451893
1.164998,-0.060300
1.169999,0.038672
1.174999,-1.029583
1.179999,0.372601
1.184999,-1.708663
1.190000,0.211013
1.195000,0.446435
1.200000,0.640739
1.205000,-1.400493
1.210001,-0.694596
1.215001,0.274640
1.220001,-0.230075
1.225001,-0.452805
1.230001,0.409875
1.235002,-0.512389
1.240002,0.047857
1.245002,-0.790065
1.250002,0.031054
1.255003,-0.234376
1.260003,0.560084
1.265003,0.090433
1.270003,1.051580
1.275004,0.274300
1.280004,0.220209
1.285004,-1.097399
1.290004,-0.152872
1.295004,-0.514666
1.300005,-0.613787
1.305005,-0.213954
1.310005,0.392156
1.315005,-0.487639
1.320006,0.033329
1.325006,-0.938449
1.330006,1.482417
1.335006,-0.002907
1.340007,0.060320
1.345007,-0.278084
1.350007,0.678536
1.355007,-0.651399
1.360008,-0.307841
1.365008,-0.180537
1.370008,0.396594
1.375008,-0.272357
1.380008,-0.480632
1.385009,0.603111
1.390009,0.633063
1.395009,-0.760191
1.400009,-0.581378
1.405010,-0.000694
1.410010,0.719512
1.415010,0.269761
1.420010,-0.367969
1.425011,0.159660
1.430011,0.909123
1.435011,0.417588
1.440011,-0.426362
1.445011,-0.533982
1.450012,0.709691
1.455012,0.030942
1.460012,-0.537704
1.465012,0.128669
1.470013,-0.119037
1.475013,0.075093
1.480013,0.891778
1.485013,1.100615
1.490014,0.825156
1.495014,0.326176
1.500014,-0.359677
1.505014,0.189522
1.510015,-0.075357
1.515015,-0.718961
1.520015,-0.073606
1.525015,0.222072
1.530015,0.308576
1.535016,-0.371837
1.540016,0.172098
1.545016,0.254414
1.550016,0.300379
1.555017,0.236176
1.560017,0.129086
1.565017,0.691376
1.570017,-0.581576
1.575018,0.135813
1.580018,0.174169
1.585018,0.061029
1.590018,-0.275509
1.595019,0.470337
1.600019,0.391040
1.605019,0.249325
1.610019,-0.255910
1.615019,-0.210272
1.620020,-0.486495
1.625020,0.449877
1.630020,0.080893
1.635020,0.459071
1.640021,-0.218838
1.645021,-0.406826
1.650021,-0.171601
1.655021,-0.699273
1.660022,-0.694704
1.665022,0.168653
1.670022,0.418855
1.675022,0.179688
1.680022,1.372755
1.685023,0.461568
1.690023,0.425246
1.695023,0.187062
1.700023,0.048235
1.705024,0.394738
1.710024,1.011794
1.715024,0.383169
1.720024,0.082068
1.725025,-0.201687
1.730025,-0.032154
1.735025,0.551062
1.740025,0.117964
1.745026,-0.619032
1.750026,0.137346
1.755026,-0.269914
1.760026,0.464356
1.765026,-0.426209
1.770027,0.190414
1.775027,0.811135
1.780027,0.262517
1.785027,-0.033059
1.790028,-0.182927
1.795028,0.105121
1.800028,-0.231357
1.805028,0.244667
1.810029,-1.000514
1.815029,-0.864543
1.820029,-0.229027
1.825029,-0.677443
1.830029,-1.270269
1.835030,0.391167
1.840030,0.801176
1.845030,0.136581
1.850030,0.070503
1.855031,0.137340
1.860031,-0.228609
1.865031,-0.711770
1.870031,0.280268
1.875032,-0.790883
1.880032,0.263134
1.885032,0.377124
1.890032,1.273099
1.895033,0.172355
1.900033,-0.313921
1.905033,0.787800
1.910033,-0.010736
1.915033,0.062478
1.920034,1.066297
1.925034,-0.214393
1.930034,-0.657379
1.935034,0.126397
1.940035,0.477146
1.945035,-0.300212
1.950035,-0.473154
1.955035,0.417990
1.960036,-0.561344
1.965036,0.058926
1.970036,-0.649747
1.975036,-1.080718
1.980036,0.407682
1.985037,0.888380
1.990037,-0.990075
1.995037,-0.026938
2.000037,-1.346446
2.005037,0.373200
2.010037,1.124156
2.015036,-1.002628
2.020036,-0.499041
2.025036,-0.853865
2.030035,0.493559
2.035035,-0.003450
2.040035,0.129554
2.045034,0.880018
2.050034,0.472790
2.055033,0.458204
2.060033,-0.230661
2.065033,-0.147345
2.070032,0.025795
2.075032,0.504688
2.080032,-0.297166
2.085031,0.174517
2.090031,-0.731292
2.095031,-0.048449
2.100030,0.312340
2.105030,-0.472266
2.110029,0.414552
2.115029,0.796822
2.120029,0.246008
2.125028,0.470287
2.130028,-1.440691
2.135028,0.217567
2.140027,-0.635050
2.145027,-1.073211
2.150027,0.035423
2.155026,0.269659
2.160026,0.582690
2.165025,0.642037
2.170025,-0.001766
2.175025,-0.286901
2.180024,-0.375710
2.185024,0.354462
2.190024,-0.128406
2.195023,-0.174785
2.200023,0.218069
2.205023,-0.307421
2.210022,0.491017
2.215022,0.617317
2.220021,-0.302083
2.225021,0.138090
2.230021,0.326122
2.235020,-0.253646
2.240020,0.840027
2.245020,0.657258
2.250019,0.453061
2.255019,0.413198
2.260019,-0.023500
2.265018,0.454905
2.270018,0.539407
2.275017,0.194946
2.280017,-0.281405
2.285017,-0.041219
2.290016,-0.130660
2.295016,-0.000983
2.300016,0.665014
2.305015,0.105430
2.310015,-0.090577
2.315015,0.213925
2.320014,0.184546
2.325014,-0.146447
2.330014,0.524993
2.335013,-0.200299
2.340013,0.092242
2.345012,0.720996
2.350012,-0.516241
2.355012,-0.263030
2.360011,0.226371
2.365011,0.145148
2.370011,0.575112
2.375010,0.525747
2.380010,-0.209241
2.385010,0.300207
2.390009,-0.821638
2.395009,0.274527
2.400008,-0.234317
2.405008,-0.302679
2.410008,-0.785851
2.415007,-0.451246
2.420007,-1.106943
2.425007,0.196016
2.430006,-0.668749
2.435006,0.704392
2.440006,-0.672588
2.445005,-0.166996
2.450005,0.581625
2.455004,0.853712
2.460004,0.992018
2.465004,-0.286186
2.470003,-0.266864
2.475003,0.488913
2.480003,-0.073185
2.485002,-0.873427
2.490002,0.053857
2.495002,0.704640
2.500001,-0.537703
2.505001,-0.004972
2.510000,0.150721
2.515000,0.232742
2.520000,-0.924669
2.524999,-0.330680
2.529999,-0.539240
2.534999,0.088244
2.539998,-0.897280
2.544998,0.198978
2.549998,0.240004
2.554997,-0.252135
2.559997,0.119411
2.564996,0.463464
2.569996,-0.640562
2.574996,-0.348043
2.579995,-0.334282
2.584995,0.540687
2.589995,-0.546439
2.594994,-0.562993
2.599994,0.072730
2.604994,0.451114
2.609993,-0.643464
2.614993,0.459770
2.619992,0.570282
2.624992,-0.021240
2.629992,-0.323462
2.634991,0.329526
2.639991,-0.552271
2.644991,-0.178876
2.649990,0.095151
2.654990,-0.865479
2.659990,0.131964
2.664989,0.894859
2.669989,-0.113225
2.674989,-0.075285
2.679988,0.096210
2.684988,0.142204
2.689987,0.069341
2.694987,-1.032720
2.699987,0.238923
2.704986,-0.202754
2.709986,-0.205929
2.714986,0.448288
2.719985,-0.186167
2.724985,0.552906
2.729985,-0.144155
2.734984,0.398324
2.739984,0.226508
2.744983,-0.737921
2.749983,-0.092155
2.754983,0.313618
2.759982,0.118534
2.764982,-0.074292
2.769982,-0.119245
2.774981,-0.922967
2.779981,0.111591
2.784981,0.757233
2.789980,-0.504606
2.794980,1.344292
2.799979,-0.812798
2.804979,-0.909602
2.809979,-0.290421
2.814978,-0.015623
2.819978,-0.326558
2.824978,-0.580702
2.829977,0.667323
2.834977,-1.162839
2.839977,-0.387978
2.844976,0.300382
2.849976,-0.239406
2.854975,-0.384829
2.859975,-0.189065
2.864975,-0.508854
2.869974,-0.287414
2.874974,0.254876
2.879974,0.693625
2.884973,-0.700174
2.889973,0.670388
2.894973,0.190335
2.899972,-0.391771
2.904972,-0.659922
2.909971,1.065796
2.914971,0.437864
2.919971,0.655887
2.924970,-0.330549
2.929970,0.383728
2.934970,-0.309625
2.939969,0.253161
2.944969,-0.196396
2.949969,-0.098889
2.954968,-0.131023
2.959968,0.714364
2.964967,0.050328
2.969967,0.197569
2.974967,-0.699803
2.979966,0.989756
2.984966,-0.420689
2.989966,-0.316287
2.994965,-0.493707
2.999965,-0.373006
3.004965,-0.794488
3.009964,0.144249
3.014964,-0.363784
3.019964,0.385035
3.024963,-0.681059
3.029963,-0.366526
3.034962,0.414879
3.039962,0.743123
3.044962,0.245986
3.049961,0.207211
3.054961,0.565309
3.059961,-0.883906
3.064960,1.026039
3.069960,0.768535
3.074960,0.435899
3.079959,-0.091241
3.084959,0.375295
3.089958,-0.280110
3.094958,-0.095385
3.099958,-0.461551
3.104957,-0.195964
3.109957,-0.405735
3.114957,0.028842
3.119956,-0.265985
3.124956,0.018168
3.129956,-0.515764
3.134955,-0.917330
3.139955,0.365337
3.144954,0.392262
3.149954,-0.783758
3.154954,-0.422162
3.159953,0.018923
3.164953,0.412077
3.169953,0.609329
3.174952,0.297232
3.179952,0.428501
3.184952,0.034214
3.189951,0.060467
3.194951,-0.289654
3.199950,-0.447734
3.204950,0.273473
3.209950,0.498116
3.214949,0.001817
3.219949,-0.274073
3.224949,-0.413602
3.229948,0.192808
3.234948,-0.556580
3.239948,-0.002828
3.244947,-0.595801
3.249947,-0.857085
3.254946,-0.524478
3.259946,0.499586
3.264946,-0.030721
3.269945,-0.301856
3.274945,0.758227
3.279945,-0.040271
3.284944,0.452043
3.289944,-0.799607
3.294944,0.570917
3.299943,0.741662
3.304943,0.210072
3.309942,0.079556
3.314942,-0.760211
3.319942,0.659445
3.324941,-0.336580
3.329941,-0.757026
3.334941,0.285070
3.339940,-0.341986
3.344940,0.023057
3.349940,0.719926
3.354939,0.271073
3.359939,0.126812
3.364938,0.398773
3.369938,0.870250
3.374938,0.433892
3.379937,0.186436
3.384937,0.294561
3.389937,-0.077066
3.394936,-0.531937
3.399936,-0.591540
3.404936,0.399185
3.409935,-0.453011
3.414935,-0.676871
3.419935,-0.046848
3.424934,-0.221028
3.429934,-0.625739
3.434933,-0.744703
3.439933,-0.021190
3.444933,0.089520
3.449932,0.043460
3.454932,0.240154
3.459932,-0.189879
3.464931,0.123893
3.469931,0.268964
3.474931,0.313850
3.479930,0.097845
3.484930,0.173600
3.489929,-0.277681
3.494929,-0.683103
3.499929,0.166169
3.504928,0.125413
3.509928,1.140367
3.514928,-0.181766
3.519927,0.845617
3.524927,0.772642
3.529927,0.399675
3.534926,0.022737
3.539926,-0.952824
3.544925,0.547237
3.549925,0.346370
3.554925,0.482239
3.559924,0.936277
3.564924,-0.548998
3.569924,0.827205
3.574923,-0.235301
3.579923,0.139472
3.584923,-0.084449
3.589922,-0.112565
3.594922,0.510442
3.599921,0.620735
3.604921,-0.955177
3.609921,0.119443
3.614920,0.681075
3.619920,-0.234990
3.624920,0.078534
3.629919,-0.039306
3.634919,-0.017626
3.639919,-0.216592
3.644918,-0.055891
3.649918,0.184693
3.654917,0.176264
3.659917,0.206392
3.664917,0.182683
3.669916,0.168829
3.674916,0.226480
3.679916,-0.423511
3.684915,-0.214990
3.689915,0.298181
3.694915,0.052599
3.699914,0.874972
3.704914,0.382336
3.709913,-0.466353
3.714913,-0.425011
3.719913,-0.293904
3.724912,-0.380443
3.729912,-0.494115
3.734912,-0.523212
3.739911,0.128363
3.744911,0.318301
3.749911,0.188613
3.754910,-0.918858
3.759910,-0.913877
3.764910,0.595067
3.769909,-0.131476
3.774909,-0.080363
3.779908,0.063112
3.784908,-0.159413
3.789908,0.104128
3.794907,0.402933
3.799907,0.247425
3.804907,0.240049
3.809906,0.269487
3.814906,0.231827
3.819906,0.413884
3.824905,0.622620
3.829905,-0.312621
3.834904,0.603529
3.839904,0.512656
3.844904,0.494282
3.849903,0.577668
3.854903,0.272435
3.859903,-0.289026
3.864902,-0.035890
3.869902,0.589462
3.874902,0.089346
3.879901,0.909068
3.884901,0.939102
3.889900,0.168465
3.894900,-0.026456
3.899900,0.250444
3.904899,0.420987
3.909899,0.106036
3.914899,0.321253
3.919898,-0.128393
3.924898,-0.616512
3.929898,0.631473
3.934897,-0.886909
3.939897,-0.004109
3.944896,-0.382362
3.949896,-0.215484
3.954896,0.124975
3.959895,0.083602
3.964895,0.034996
3.969895,-0.383908
3.974894,-0.506528
3.979894,0.592690
3.984894,0.165882
3.989893,-0.177054
3.994893,0.097127
3.999892,-0.295146
4.004892,-0.484464
4.009892,0.144512
4.014892,-1.026303
4.019891,1.033089
4.024891,0.098738
4.029891,-0.063209
4.034890,-0.822447
4.039890,-0.405349
4.044889,0.377092
4.049889,0.700021
4.054889,-0.381992
4.059888,0.036862
4.064888,-0.089054
4.069888,0.800885
4.074887,0.617350
4.079887,-0.004097
4.084887,0.394128
4.089886,-0.746995
4.094886,-0.909215
4.099885,-0.364791
4.104885,-0.290299
4.109885,-0.251731
4.114884,-0.228767
4.119884,-0.716480
4.124884,0.061870
4.129883,-0.487350
4.134883,0.239356
4.139883,-0.910916
4.144882,-0.315122
4.149882,-0.111054
4.154881,-0.497638
4.159881,-0.367765
4.164881,-0.112637
4.169880,0.504269
4.174880,0.520654
4.179880,0.352278
4.184879,0.847101
4.189879,0.334628
4.194879,0.534405
4.199878,-0.758635
4.204878,0.327904
4.209877,0.206389
4.214877,0.206392
4.219877,0.022941
4.224876,-0.980501
4.229876,0.685127
4.234876,0.221874
4.239875,-0.569975
4.244875,-0.992222
4.249875,0.658692
4.254874,-0.421293
4.259874,-0.770716
4.264874,-0.081336
4.269873,0.045935
4.274873,-0.335541
4.279872,-0.874989
4.284872,-0.404997
4.289872,-0.972869
4.294871,-0.324927
4.299871,-0.291683
4.304871,-0.988972
4.309870,-0.365552
4.314870,1.425289
4.319870,0.236728
4.324869,0.881124
4.329869,0.342018
4.334868,-0.356924
4.339868,0.464884
4.344868,-0.405078
4.349867,0.687486
4.354867,0.118823
4.359867,-0.355951
4.364866,0.941674
4.369866,-0.221744
4.374866,-0.884926
4.379865,-0.575032
4.384865,0.053449
4.389864,0.449821
4.394864,0.313432
4.399864,0.141737
4.404863,0.198231
4.409863,-0.230568
4.414863,0.164765
4.419862,1.015921
4.424862,-0.277835
4.429862,1.098183
4.434861,0.821614
4.439861,0.903847
4.444860,0.115446
4.449860,-0.226832
4.454860,0.020518
4.459859,0.775774
4.464859,-0.218231
4.469859,0.721636
4.474858,0.145683
4.479858,-0.298758
4.484858,0.683019
4.489857,-0.925904
4.494857,0.002782
4.499856,0.531652
4.504856,-0.363724
4.509856,-0.658021
4.514855,0.037472
4.519855,0.265977
4.524855,0.220592
4.529854,-0.190679
4.534854,0.113555
4.539854,0.161952
4.544853,-0.036381
4.549853,-0.776405
4.554852,0.037963
4.559852,-0.455004
4.564852,-0.466235
4.569851,0.642331
4.574851,-0.275326
4.579851,0.277661
4.584850,0.357637
4.589850,0.160286
4.594850,0.127863
4.599849,0.587897
4.604849,0.326099
4.609848,0.508970
4.614848,-0.385283
4.619848,0.701837
4.624847,0.740098
4.629847,0.478006
4.634847,-0.005708
4.639846,-0.810189
4.644846,-0.341015
4.649846,-1.038936
4.654845,-0.160079
4.659845,0.141916
4.664845,-0.205569
4.669844,-0.166904
4.674844,0.192806
4.679843,0.040849
4.684843,0.027261
4.689843,-0.267671
4.694842,0.691258
4.699842,0.454354
4.704842,-0.326698
4.709841,0.711512
4.714841,0.513939
4.719841,0.398983
4.724840,0.102411
4.729840,0.398834
4.734839,-0.013615
4.739839,-0.419696
4.744839,-0.298876
4.749838,-0.411220
4.754838,0.007158
4.759838,-0.000310
4.764837,0.519195
4.769837,0.880415
4.774837,-0.507806
4.779836,0.033833
4.784836,0.182555
4.789835,-0.491256
4.794835,-0.556795
4.799835,0.890007
4.804834,-0.400444
4.809834,0.783634
4.814834,0.409622
4.819833,0.197856
4.824833,-0.048500
4.829833,0.379299
4.834832,-0.030926
4.839832,0.444540
4.844831,0.720216
4.849831,-0.371475
4.854831,-1.676092
4.859830,0.651056
4.864830,0.227049
4.869830,0.698484
4.874829,0.093570
4.879829,-0.265843
4.884829,-0.366598
4.889828,-0.694270
4.894828,-0.342961
4.899827,-0.038519
4.904827,0.035519
4.909827,-0.267001
4.914826,-1.207015
4.919826,0.465227
4.924826,-0.815242
4.929825,-0.450479
4.934825,-0.055665
4.939825,-0.053233
4.944824,0.465962
4.949824,0.616588
4.954823,-0.112888
4.959823,-0.191879
4.964823,-0.531482
4.969822,-0.156101
4.974822,-0.070714
4.979822,0.979840
4.984821,-0.238998
4.989821,0.622778
4.994821,-0.412505
4.999820,0.161863
5.004820,0.437908
5.009820,0.196162
5.014819,-0.084972
5.019819,0.268675
5.024818,-0.274631
5.029818,-0.256390
5.034818,-0.066922
5.039817,-0.192391
5.044817,0.408227
5.049817,-1.067955
5.054816,-0.160011
5.059816,0.304329
5.064816,0.465558
5.069815,0.101966
5.074815,0.111877
5.079814,0.534487
5.084814,-1.403357
5.089814,-0.709803
5.094813,-0.242051
5.099813,-0.288905
5.104813,-0.626115
5.109812,1.061743
5.114812,0.532584
5.119812,-0.703199
5.124811,-0.567184
5.129811,0.790410
5.134810,0.273896
5.139810,-1.125573
5.144810,-0.265976
5.149809,-0.050981
5.154809,-0.239677
5.159809,0.121515
5.164808,0.285731
5.169808,0.033185
5.174808,-0.172128
5.179807,0.362112
5.184807,-0.195719
5.189806,0.075323
5.194806,0.488513
5.199806,-0.957837
5.204805,-0.466659
5.209805,-0.127223
5.214805,-0.223713
5.219804,-0.027051
5.224804,0.285974
5.229804,0.146300
5.234803,0.176260
5.239803,-0.574556
5.244802,-0.231031
5.249802,-0.374525
5.254802,-0.424417
5.259801,-0.358201
5.264801,0.099784
5.269801,0.217187
5.274800,1.199875
5.279800,-0.049881
5.284800,0.167553
5.289799,0.405656
5.294799,-1.284438
5.299798,0.048821
5.304798,0.180004
5.309798,-0.567472
5.314797,-0.689732
5.319797,1.161821
5.324797,-0.151857
5.329796,-0.354857
5.334796,0.618915
5.339796,-0.097979
5.344795,-1.187414
5.349795,-0.581441
5.354795,0.244157
5.359794,-0.193322
5.364794,0.191334
5.369793,-0.004597
5.374793,0.256941
5.379793,-1.182176
5.384792,0.437443
5.389792,0.495011
5.394792,0.042975
5.399791,-0.619276
5.404791,0.638362
5.409791,0.002554
5.414790,0.036225
5.419790,-0.506980
5.424789,0.552634
5.429789,0.583140
5.434789,0.048005
5.439788,0.150450
5.444788,0.663059
5.449788,-1.446888
5.454787,0.675644
5.459787,0.102715
5.464787,-0.000375
5.469786,1.313496
5.474786,0.259717
5.479785,0.320521
5.484785,0.046778
5.489785,0.064204
5.494784,0.080199
5.499784,-0.746804
5.504784,0.905751
5.509783,0.509647
5.514783,0.421233
5.519783,0.327411
5.524782,0.558464
5.529782,0.056435
5.534781,0.606937
5.539781,0.204745
5.544781,0.888843
5.549780,0.036367
5.554780,-0.045784
5.559780,0.024094
5.564779,-0.945382
5.569779,-0.298453
5.574779,1.005390
5.579778,-1.155953
5.584778,-1.269863
5.589777,-0.592550
5.594777,-0.314460
5.599777,-0.543962
5.604776,-0.092220
5.609776,0.589748
5.614776,-0.211203
5.619775,-0.208439
5.624775,-1.033201
5.629775,-0.399005
5.634774,-0.856199
5.639774,-0.225995
5.644773,0.024456
5.649773,-0.197764
5.654773,-0.098267
5.659772,0.022712
5.664772,0.012366
5.669772,-0.079215
5.674771,-0.132397
5.679771,0.010464
5.684771,-0.729752
5.689770,-0.162220
5.694770,0.462669
5.699769,-0.343903
5.704769,-0.827449
5.709769,0.147989
5.714768,0.042168
5.719768,-0.173361
5.724768,-1.565154
5.729767,-0.962771
5.734767,0.269723
5.739767,-0.483543
5.744766,-0.167826
5.749766,0.029568
5.754766,-0.148885
5.759765,0.323347
5.764765,0.282153
5.769764,-0.362110
5.774764,1.021704
5.779764,0.402717
5.784763,0.057109
5.789763,0.330003
5.794763,-0.598645
5.799762,0.432912
5.804762,0.442764
5.809762,-0.359942
5.814761,0.396337
5.819761,0.143465
5.824760,0.243729
5.829760,1.519687
5.834760,-0.472204
5.839759,0.614894
5.844759,0.330742
5.849759,-0.363797
5.854758,-0.024142
5.859758,0.633157
5.864758,-0.300973
5.869757,-0.306793
5.874757,0.174667
5.879756,0.109538
5.884756,-0.027014
5.889756,0.722986
5.894755,-0.454469
5.899755,-0.270725
5.904755,-0.233850
5.909754,0.373859
5.914754,-0.359165
5.919754,-0.636564
5.924753,-0.606012
5.929753,-0.312139
5.934752,-0.440025
5.939752,0.093886
5.944752,-0.136401
5.949751,0.121918
5.954751,-0.403314
5.959751,0.100122
5.964750,0.892118
5.969750,-0.394567
5.974750,-0.524436
5.979749,-0.691253
5.984749,-0.160707
5.989748,-0.419405
5.994748,-0.145847
5.999748,0.961297
6.004747,0.644310
6.009747,0.275484
6.014747,0.234185
6.019746,0.234759
6.024746,0.704847
6.029746,0.083979
6.034745,0.712202
6.039745,0.065816
6.044744,0.142125
6.049744,0.169319
6.054744,-0.507108
6.059743,0.559294
6.064743,-0.460779
6.069743,0.495875
6.074742,0.762414
6.079742,-0.437225
6.084742,0.711392
6.089741,0.197312
6.094741,0.309435
6.099741,-0.844756
6.104740,0.788756
6.109740,-0.421291
6.114739,0.538985
6.119739,0.151344
6.124739,-0.102794
6.129738,-0.884366
6.134738,0.104633
6.139738,-0.391972
6.144737,-0.188020
6.149737,-0.435222
6.154737,-0.044638
6.159736,-0.480150
6.164736,0.396805
6.169735,0.677864
6.174735,0.524778
6.179735,0.442879
6.184734,0.088493
6.189734,-0.728965
6.194734,0.691657
6.199733,-0.026227
6.204733,-0.271647
6.209733,0.494599
6.214732,0.681164
6.219732,0.365023
6.224731,-0.042166
6.229731,-0.020653
6.234731,-0.145627
6.239730,-0.151550
6.244730,0.401945
6.249730,1.333735
6.254729,-0.428630
6.259729,-0.345439
6.264729,-0.333454
6.269728,-0.388275
6.274728,-0.446447
6.279727,-0.792477
6.284727,0.958114
6.289727,0.348794
6.294726,-0.396677
6.299726,-0.688411
6.304726,0.737365
6.309725,1.011556
6.314725,0.381015
6.319725,0.102538
6.324724,-0.807390
6.329724,0.196099
6.334723,0.727642
6.339723,-0.353689
6.344723,-0.425235
6.349722,0.063953
6.354722,-0.261645
6.359722,-0.103605
6.364721,-0.274099
6.369721,-0.029152
6.374721,-0.475656
6.379720,0.565932
6.384720,0.114348
6.389719,-0.113980
6.394719,0.119223
6.399719,0.666799
6.404718,0.064728
6.409718,0.658803
6.414718,-0.271864
6.419717,-0.339302
6.424717,0.255653
6.429717,0.302789
6.434716,-0.460340
6.439716,0.414087
6.444715,-0.039014
6.449715,-0.620709
6.454715,0.281461
6.459714,-0.774516
6.464714,1.071037
6.469714,-0.545910
6.474713,-0.630535
6.479713,0.285077
6.484713,0.013849
6.489712,0.440841
6.494712,0.239139
6.499712,0.331185
6.504711,-0.449899
6.509711,0.227558
6.514710,-0.894302
6.519710,-0.001083
6.524710,0.329935
6.529709,-0.166240
6.534709,-0.411270
6.539709,0.298102
6.544708,-0.002135
6.549708,-0.496679
6.554708,0.493125
6.559707,0.452761
6.564707,-0.404272
6.569706,-0.264972
6.574706,-0.353706
6.579706,-0.465227
6.584705,0.645875
6.589705,-0.393530
